"abdomen","abdómen"
"abdomino-pelvicas","abdomino-pélvicas"
"abordaveis","abordáveis"
"abundancia","abundância"
"aceitavel","aceitável"
"aceleraçao","aceleração"
"acentuaçao","acentuação"
"acessiveis","acessíveis"
"acessivel","acessível"
"acessorio","acessório"
"acessorios","acessórios"
"acetabulo","acetábulo"
"acetabulos","acetábulos"
"aconselhavel","aconselhável"
"acromio","acrómio"
"acromio-clavicular","acrómio-clavicular"
"acromio-claviculares","acrómio-claviculares"
"acumulaçao","acumulação"
"acustica","acústica"
"acustico","acústico"
"acusticos","acústicos"
"adenohipofise","adenohipófise"
"adenopatico","adenopático"
"adenopaticos","adenopáticos"
"aderencia","aderência"
"aderencias","aderências"
"administraçao","administração"
"admissivel","admissível"
"adventicias","adventícias"
"aerea","aérea"
"aereas","aéreas"
"aereo","aéreo"
"aereos","aéreos"
"agua","água"
"agudizaçao","agudização"
"alem","além"
"alergicos","alérgicos"
"algica","álgica"
"algicas","álgicas"
"algico","álgico"
"alitiasica","alitiásica"
"alteraçao","alteração"
"alteraçeos","alterações"
"alteraçoes","alterações"
"alveolo","alvéolo"
"amigdalas","amígdalas"
"amputaçao","amputação"
"analise","análise"
"analitica","analítica"
"analitico","analítico"
"analiticos","analíticos"
"anatomica","anatómica"
"anatomicas","anatómicas"
"anatomo-patologico","anatomo-patológico"
"ancora","âncora"
"anecogenica","anecogénica"
"anecogenico","anecogénico"
"aneis","anéis"
"aneurismatica","aneurismática"
"aneurismaticas","aneurismáticas"
"angiografica","angiográfica"
"angiografico","angiográfico"
"angulaçao","angulação"
"angulo","ângulo"
"angulos","ângulos"
"anomala","anómala"
"anomalas","anómalas"
"anomalo","anómalo"
"anomalos","anómalos"
"anteflexao","anteflexão"
"antepe","antepé"
"anteversao","anteversão"
"antro-timpanicas","antro-timpânicas"
"anus","ânus"
"aortica","aórtica"
"aorticas","aórticas"
"aortico","aórtico"
"aorto-coronaria","aorto-coronária"
"aorto-iliaca","aorto-ilíaca"
"aorto-iliacas","aorto-ilíacas"
"aorto-iliacos","aorto-ilíacos"
"aortoiliaca","aortoilíaca"
"aparencia","aparência"
"apendice","apêndice"
"apex","ápex"
"apice","ápice"
"apices","ápices"
"aplicaçao","aplicação"
"apofise","apófise"
"apofises","apófises"
"aponevrotica","aponevrótica"
"aponevroticos","aponevróticos"
"apos","após"
"apreciaveis","apreciáveis"
"apreciavel","apreciável"
"apreciaçao","apreciação"
"aproximaçao","aproximação"
"aquiles","Aquiles"
"aquisiçao","aquisição"
"aquisiçoes","aquisições"
"area","área"
"areas","áreas"
"arteria","artéria"
"arterias","artérias"
"arterioesclerotica","arteriosclerótica"
"articulaçao","articulação"
"articulaçoes","articulações"
"artriticas","artríticas"
"artriticos","artríticos"
"artrosica","artrósica"
"artrosicas","artrósicas"
"artrosicos","artrósicos"
"arvore","árvore"
"arvores","árvores"
"ascitico","ascítico"
"assimetrica","assimétrica"
"assimetricas","assimétricas"
"assimetrico","assimétrico"
"assimetricos","assimétricos"
"assinalaveis","assinaláveis"
"assinalavel","assinalável"
"associaçao","associação"
"astragalo","astrágalo"
"ate","até"
"atelectasica","atelectásica"
"atelectasicas","atelectásicas"
"atenuaçao","atenuação"
"atenuaçoes","atenuações"
"atençao","atenção"
"atipica","atípica"
"atipicas","atípicas"
"atipico","atípico"
"atras","atrás"
"atraves","através"
"atribuido","atribuído"
"atribuimos","atribuímos"
"atribuiveis","atribuíveis"
"atribuiçao","atribuição"
"atrofica","atrófica"
"atroficas","atróficas"
"atrofico","atrófico"
"atroficos","atróficos"
"auricula","aurícula"
"ausencia","ausência"
"avaliacao","avaliação"
"avaliaçao","avaliação"
"avaliaçoes","avaliações"
"avulsao","avulsão"
"avulsoes","avulsões"
"baker","Baker"
"bascula","báscula"
"bastrup","Baastrup"
"bc","buracos de conjugação"
"bicipite","bicípite"
"bifida","bífida"
"bifidez","bífidez"
"bifurcaçao","bifurcação"
"biomecanica","biomecânica"
"biopsia","biópsia"
"biotipo","biótipo"
"blastica","blástica"
"blasticas","blásticas"
"bm","buraco magno"
"bocio","bócio"
"bosniak","Bosniak"
"botao","botão"
"bronquica","brônquica"
"bronquicas","brônquicas"
"bronquico","brônquico"
"bronquio","brônquio"
"bronquios","brônquios"
"bronquitica","bronquítica"
"calcaneo","calcâneo"
"calcaneos","calcâneos"
"calcica","cálcica"
"calcico","cálcico"
"calcificaçao","calcificação"
"calcificaçoes","calcificações"
"calcio","cálcio"
"calculo","cálculo"
"calculos","cálculos"
"calices","cálices"
"camara","câmara"
"camaras","câmaras"
"capsula","cápsula"
"capsulas","cápsulas"
"captaçao","captação"
"captaçoes","captações"
"caracter","carácter"
"caracteristicas","características"
"caracterizaçao","caracterização"
"cardiaca","cardíaca"
"cardiacas","cardíacas"
"cardiacos","cardíacos"
"cardiofrenicos","cardiofrénicos"
"cardiomediastinica","cardiomediastínica"
"cardiotoracico","cardiotorácico"
"carie","cárie"
"caries","cáries"
"carotida","carótida"
"carotidas","carótidas"
"carotidea","carotídea"
"carotideas","carotídeas"
"carotideo","carotídeo"
"carotideos","carotídeos"
"carpica","cárpica"
"carpico","cárpico"
"carpicos","cárpicos"
"carpometacarpica","carpometacárpica"
"cartilaginea","cartilagínea"
"cartilagineas","cartilagíneas"
"cartilagineo","cartilagíneo"
"categorica","categórica"
"categoricas","categóricas"
"categoricos","categóricos"
"cavitaçao","cavitação"
"cavitaçoes","cavitações"
"cb","características benignas"
"ccr","características radiográficas de"
